regional_id,name
1,TRUMON
1,TRUMON TIMUR
1,BAKONGAN
1,BAKONGAN TIMUR
1,KLUET SELATAN
1,KLUET TIMUR
1,KLUET UTARA
1,PASIE RAJA
1,KLUET TENGAH
1,TAPAK TUAN
1,SAMA DUA
1,SAWANG
1,MEUKEK
1,LABUHAN HAJI
1,LABUHAN HAJI TIMUR
1,LABUHAN HAJI BARAT
2,LAWE ALAS
2,BABUL RAHMAD
2,TANOH ALAS
2,LAWE SIGALA-GALA
2,BABUL MAKMUR
2,SEMADAM
2,LAUSER
2,BAMBEL
2,BUKIT TUSAM
2,LAWE SUMUR
2,BABUSSALAM
2,LAWE BULAN
2,BADAR
2,DARUL HASANAH
2,KETAMBE
2,DELENG POKHKISEN
3,SERBA JADI
3,SIMPANG JERNIH
3,PEUNARON
3,BIREM BAYEUN
3,RANTAU SELAMAT
3,SUNGAI RAYA
3,PEUREULAK
3,PEUREULAK TIMUR
3,PEUREULAK BARAT
3,RANTO PEUREULAK
3,IDI RAYEUK
3,PEUDAWA
3,BANDA ALAM
3,IDI TUNONG
3,DARUL IHSAN
3,IDI TIMUR
3,DARUL AMAN
3,NURUSSALAM
3,DARUL FALAH
3,JULOK
3,INDRA MAKMUR
3,PANTE BIDARI
3,SIMPANG ULIM
3,MADAT
4,LINGE
4,ATU LINTANG
4,JAGONG JEGET
4,BINTANG
4,LUT TAWAR
4,KEBAYAKAN
4,PEGASING
4,BIES
4,BEBESEN
4,KUTE PANANG
4,SILIH NARA
4,KETOL
4,CELALA
4,RUSIP ANTARA
5,JOHAN PAHLAWAN
5,SAMATIGA
5,BUBON
5,ARONGAN LAMBALEK
5,WOYLA
5,WOYLA BARAT
5,WOYLA TIMUR
5,KAWAY XVI
5,MEUREUBO
5,PANTAI CEUREMEN
5,PANTON REU
5,SUNGAI MAS
6,LHOONG
6,LHOKNGA
6,LEUPUNG
6,INDRAPURI
6,KUTA COT GLIE
6,SEULIMEUM
6,KOTA JANTHO
6,LEMBAH SEULAWAH
6,MESJID RAYA
6,DARUSSALAM
6,BAITUSSALAM
6,KUTA BARO
6,MONTASIK
6,BLANG BINTANG
6,INGIN JAYA
6,KRUENG BARONA JAYA
6,SUKA MAKMUR
6,KUTA MALAKA
6,SIMPANG TIGA
6,DARUL IMARAH
6,DARUL KAMAL
6,PEUKAN BADA
6,PULO ACEH
7,GEUMPANG
7,MANE
7,GLUMPANG TIGA
7,GLUMPANG BARO
7,MUTIARA
7,MUTIARA TIMUR
7,TIRO/TRUSEB
7,TANGSE
7,KEUMALA
7,TITEUE
7,SAKTI
7,MILA
7,PADANG TIJI
7,DELIMA
7,GRONG GRONG
7,INDRAJAYA
7,PEUKAN BARO
7,KEMBANG TANJONG
7,SIMPANG TIGA
7,KOTA SIGLI
7,PIDIE
7,BATEE
7,MUARA TIGA
8,SAWANG
8,NISAM
8,NISAM ANTARA
8,BANDA BARO
8,KUTA MAKMUR
8,SIMPANG KERAMAT
8,SYAMTALIRA BAYU
8,GEUREUDONG PASE
8,MEURAH MULIA
8,MATANGKULI
8,PAYA BAKONG
8,PIRAK TIMU
8,COT GIREK
8,TANAH JAMBO AYE
8,LANGKAHAN
8,SEUNUDON
8,BAKTIYA
8,BAKTIYA BARAT
8,LHOKSUKON
8,TANAH LUAS
8,NIBONG
8,SAMUDERA
8,SYAMTALIRA ARON
8,TANAH PASIR
8,LAPANG
8,MUARA BATU
8,DEWANTARA
9,TEUPAH SELATAN
9,SIMEULUE TIMUR
9,TEUPAH BARAT
9,SIMEULUE TENGAH
9,TELUK DALAM
9,SALANG
9,SIMEULUE BARAT
9,ALAFAN
10,PULAU BANYAK
10,SINGKIL
10,SINGKIL UTARA
10,KUALA BARU
10,SIMPANG KANAN
10,GUNUNG MERIAH
10,DANAU PARIS
10,SURO
10,SINGKOHOR
10,KOTA BAHARU
11,SAMALANGA
11,SIMPANG MAMPLAM
11,PANDRAH
11,JEUNIEB
11,PEULIMBANG
11,PEUDADA
11,JULI
11,JEUMPA
11,KOTA JUANG
11,KUALA
11,JANGKA
11,PEUSANGAN
11,PEUSANGAN SELATAN
11,PEUSANGAN SIBLAH KRUENG
11,MAKMUR
11,GANDA PURA
11,KUTA BLANG
12,MANGGENG
12,LEMBAH SABIL
12,TANGAN-TANGAN
12,SETIA
12,BLANG PIDIE
12,JEUMPA
12,SUSOH
12,KUALA BATEE
12,BABAH ROT
13,KUTA PANJANG
13,BLANG JERANGO
13,BLANGKEJEREN
13,PUTRI BETUNG
13,DABUN GELANG
13,BLANG PEGAYON
13,PINING
13,RIKIT GAIB
13,PANTAN CUACA
13,TERANGUN
13,TRIPE JAYA
14,TEUNOM
14,PANGA
14,KRUENG SABEE
14,SETIA BAKTI
14,SAMPOINIET
14,JAYA
15,DARUL MAKMUR
15,KUALA
15,KUALA PESISIR
15,TADU RAYA
15,BEUTONG
15,SEUNAGAN
15,SUKA MAKMUE
15,SEUNAGAN TIMUR
16,TAMIANG HULU
16,BANDAR PUSAKA
16,KEJURUAN MUDA
